Year,Issue_Number,ID,Title
2000,1,1,在中葡澳门政权交接仪式上的讲话 ………………… 中华人民共和国主席江泽民
2000,1,2,在中华人民共和国澳门特别行政区成立庆祝大会上的讲话 ………………………………………………………… 中华人民共和国主席江泽民
2000,1,3,在首都各界庆祝澳门回归祖国大会上的讲话 ……………………………… 江泽民
2000,1,4,在澳门特别行政区成立暨特区政府宣誓就职仪式上的致辞 … 国务院总理朱镕基
2000,1,5,在庆祝澳门回归招待会上的讲话 ……………………………… 国务院总理朱镕基
2000,1,6,中国人民解放军驻澳门部队进驻澳门特别行政区的命令 ……………………………………………… 中华人民共和国中央军委主席江泽民
2000,1,7,全国人民代表大会常务委员会关于增加澳门特别行政区基本法附件三所列全国性 法律的决定
2000,1,8,中华人民共和国国务院关于授权澳门特别行政区政府接收原澳门政府资产的决定
2000,1,9,中华人民共和国国务院令（第275号） 中华人民共和国澳门特别行政区行政区域范围文字表述
2000,1,10,中华人民共和国国务院令（第274号） 中华人民共和国台湾同胞投资保护法实施细则
2000,1,11,国务院关于全面推进依法行政的决定
2000,1,12,国务院办公厅转发国家经贸委等部门关于清理整顿小炼油厂和规范原油成品油流 通秩序意见的通知 关于清理整顿小炼油厂和规范原油成品油流通秩序的意见
2000,1,13,国务院办公厅转发建设部、交通部等部门关于清理整顿城市出租汽车等公共客运 交通意见的通知 关于清理整顿城市出租汽车等公共客运交通的意见
2000,1,14,关于12月20日放假的通知 …………………………………………… 国务院办公厅
2000,1,15,中华人民共和国外交部公告
2000,1,16,中华人民共和国和哈萨克斯坦共和国关于两国边界问题获得全面解决的联合公报
2000,1,17,中华人民共和国和哈萨克斯坦共和国关于在二十一世纪继续加强全面合作的联合 声明
2000,1,18,中华人民共和国公安部令（第42号） 中华人民共和国边境管理区通行证管理办法
2000,1,19,中华人民共和国公安部令（第43号） 中华人民共和国居民身份证条例实施细则
2000,1,20,关于印发《社会团体设立专项基金管理机构暂行规定》的通知 ………… 民政部 社会团体设立专项基金管理机构暂行规定
2000,1,21,中华人民共和国交通部令（1999年第2号） 中华人民共和国营业性道路运输机动车准驾证管理规定
2000,1,22,关于发布《电信网间互联管理暂行规定》的通知 …………………… 信息产业部 电信网间互联管理暂行规定
2000,1,23,中华人民共和国海关总署令（第73号） 中华人民共和国海关审定加工贸易进口货物完税价格办法
2000,1,24,国家税务总局关于实施对设在中西部地区的外商投资企业给予三年减按15%税率征 收企业所得税的优惠的通知
2000,1,25,中华人民共和国国家工商行政管理局令（第90号） 企业法人法定代表人登记管理规定
2000,1,26,关于印发《出版物市场管理暂行规定》的通知 ……………………… 新闻出版署 出版物市场管理暂行规定
2000,2,1,二〇〇〇年贺词 ——在首都各界迎接新世纪和新千年庆祝活动上的讲话 ……………… 江泽民
2000,2,2,中华人民共和国主席令（第二十六号） 中华人民共和国海洋环境保护法
2000,2,3,中华人民共和国主席令（第二十七号） 中华人民共和国刑法修正案
2000,2,4,中华人民共和国主席令（第二十八号） 中华人民共和国海事诉讼特别程序法
2000,2,5,中华人民共和国主席令（第二十九号） 全国人民代表大会常务委员会关于修改《中华人民共和国公司法》的决定 中华人民共和国公司法
2000,2,6,全国人民代表大会常务委员会关于加强中央预算审查监督的决定
2000,2,7,全国人民代表大会常务委员会关于批准《全国人民代表大会澳门特别行政区筹备 委员会工作情况的报告》和全国人民代表大会澳门特别行政区筹备委员会结束 工作的建议的决定 全国人民代表大会澳门特别行政区筹备委员会关于建议筹委会结束工作的报 告
2000,3,1,国务院关于进一步加强产品质量工作若干问题的决定
2000,3,2,中华人民共和国和印度尼西亚共和国联合新闻公报
2000,3,3,关于印发《国家重点技术改造项目管理办法》、《国家重点技术改造项目国债专 项资金管理办法》的通知 ………………………………… 国家经贸委等四部门 国家重点技术改造项目管理办法 国家重点技术改造项目国债专项资金管理办法
2000,3,4,关于当前深化高等学校人事分配制度改革的若干意见 …………………… 教育部
2000,3,5,中华人民共和国对外贸易经济合作部令（一九九九年第3号） 对外贸易经济合作部《关于外商投资举办投资性公司的暂行规定》的补充 规定
2000,3,6,关于颁布《外经贸企业封闭贷款管理暂行办法》的通知… 中国人民银行等五部门 外经贸企业封闭贷款管理暂行办法
2000,3,7,国家税务总局关于印发《税务行政复议规则（试行）》的通知 税务行政复议规则（试行）
2000,3,8,中国的少数民族政策及其实践 ………………………………… 国务院新闻办公室
2000,4,1,在《维也纳公约》缔约方大会第五次会议和《蒙特利尔议定书》缔约方大会第十 一次会议部长级会议开幕式上的致辞 …………………………………… 江泽民
2000,4,2,迈向新世纪的中国与亚洲（摘要） …………………………………………… 朱镕基
2000,4,3,中华人民共和国国务院令（第276号） 医疗器械监督管理条例
2000,4,4,国务院办公厅关于加强政府系统值班和信息报送工作的通知
2000,4,5,国务院办公厅转发国务院三峡工程建设委员会办公室、移民开发局关于做好三峡 工程库区农村移民外迁安置工作若干意见的通知 关于做好三峡工程库区农村移民外迁安置工作的若干意见
2000,4,6,国务院办公厅　中央军委办公厅关于印发《中国人民解放军军人退役医疗保险暂 行办法》的通知 中国人民解放军军人退役医疗保险暂行办法
2000,4,7,江泽民主席与叶利钦总统非正式会晤联合新闻公报
2000,4,8,中俄联合声明
2000,4,9,江泽民主席致信叶利钦
2000,4,10,外交部发言人1999年12月31日就叶利钦总统宣布辞职发表谈话
